model,context_length,depth_percent,version,needle,score,test_duration_seconds,test_timestamp_utc,file_name,_source_file,test_timestamp_utc_parsed,is_checkpoint
meta-llama/Llama-3.2-1B,2048,1.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.8101978302001953,2025-12-28 15:32:45+0000,meta-llama/Llama-3_2-1B_len_2048_depth_100,Llama-3_2-1B_len_2048_depth_100_results.json,2025-12-28 15:32:45+00:00,False
meta-llama/Llama-3.2-1B,2048,5.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6686632633209229,2025-12-28 15:32:47+0000,meta-llama/Llama-3_2-1B_len_2048_depth_500,Llama-3_2-1B_len_2048_depth_500_results.json,2025-12-28 15:32:47+00:00,False
meta-llama/Llama-3.2-1B,2048,10.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6671710014343262,2025-12-28 15:32:48+0000,meta-llama/Llama-3_2-1B_len_2048_depth_1000,Llama-3_2-1B_len_2048_depth_1000_results.json,2025-12-28 15:32:48+00:00,False
meta-llama/Llama-3.2-1B,2048,25.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6719930171966553,2025-12-28 15:32:50+0000,meta-llama/Llama-3_2-1B_len_2048_depth_2500,Llama-3_2-1B_len_2048_depth_2500_results.json,2025-12-28 15:32:50+00:00,False
meta-llama/Llama-3.2-1B,2048,50.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.667855978012085,2025-12-28 15:32:51+0000,meta-llama/Llama-3_2-1B_len_2048_depth_5000,Llama-3_2-1B_len_2048_depth_5000_results.json,2025-12-28 15:32:51+00:00,False
meta-llama/Llama-3.2-1B,2048,75.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.666576623916626,2025-12-28 15:32:53+0000,meta-llama/Llama-3_2-1B_len_2048_depth_7500,Llama-3_2-1B_len_2048_depth_7500_results.json,2025-12-28 15:32:53+00:00,False
meta-llama/Llama-3.2-1B,2048,90.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6721067428588867,2025-12-28 15:32:55+0000,meta-llama/Llama-3_2-1B_len_2048_depth_9000,Llama-3_2-1B_len_2048_depth_9000_results.json,2025-12-28 15:32:55+00:00,False
meta-llama/Llama-3.2-1B,2048,95.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6677272319793701,2025-12-28 15:32:56+0000,meta-llama/Llama-3_2-1B_len_2048_depth_9500,Llama-3_2-1B_len_2048_depth_9500_results.json,2025-12-28 15:32:56+00:00,False
meta-llama/Llama-3.2-1B,2048,99.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1,0.6732347011566162,2025-12-28 15:32:58+0000,meta-llama/Llama-3_2-1B_len_2048_depth_9900,Llama-3_2-1B_len_2048_depth_9900_results-checkpoint.json,2025-12-28 15:32:58+00:00,True
meta-llama/Llama-3.2-1B,4096,1.0,1,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0,1.3424766063690186,2025-12-28 15:33:00+0000,meta-llama/Llama-3_2-1B_len_4096_depth_100,Llama-3_2-1B_len_4096_depth_100_results.json,2025-12-28 15:33:00+00:00,False
